GameState,660,7
Paddle,932.0,680.0,130.0,20.0,8.0
Ball,997.0,650.0,20.0,5.0,0.0,0.0,false,false
Brick,31.0,92.0,200.0,35.0,0.0,10,INDESTRUCTIBLE,10
Brick,31.0,32.0,120.0,60.0,0.0,3,NORMAL,3
Brick,151.0,62.0,80.0,30.0,0.0,1,NORMAL,1
Brick,30.0,415.0,80.0,35.0,0.0,3,NORMAL,3
Brick,151.0,32.0,80.0,30.0,0.0,1,NORMAL,1
Brick,520.0,230.0,50.0,20.0,0.0,2,NORMAL,3
Brick,520.0,250.0,50.0,20.0,0.0,10,INDESTRUCTIBLE,10
Brick,110.0,415.0,80.0,35.0,0.0,3,NORMAL,3
Brick,190.0,415.0,80.0,35.0,0.0,3,NORMAL,3
Brick,270.0,415.0,80.0,35.0,0.0,3,NORMAL,3
Brick,350.0,415.0,80.0,35.0,0.0,2,NORMAL,3
Brick,657.0,415.0,80.0,35.0,0.0,1,NORMAL,3
Brick,737.0,415.0,80.0,35.0,0.0,2,NORMAL,3
Brick,897.0,415.0,80.0,35.0,0.0,2,NORMAL,3
Brick,977.0,415.0,80.0,35.0,0.0,3,NORMAL,3
Brick,30.0,450.0,400.0,20.0,0.0,10,INDESTRUCTIBLE,10
Brick,658.0,450.0,400.0,20.0,0.0,10,INDESTRUCTIBLE,10
Brick,30.0,471.0,80.0,35.0,0.0,2,NORMAL,2
Brick,32.0,300.0,80.0,30.0,0.0,1,NORMAL,1
Brick,110.0,471.0,80.0,35.0,0.0,2,NORMAL,2
Brick,190.0,471.0,80.0,35.0,0.0,2,NORMAL,2
Brick,270.0,471.0,80.0,35.0,0.0,2,NORMAL,2
Brick,350.0,471.0,80.0,35.0,0.0,2,NORMAL,2
Brick,660.0,471.0,80.0,35.0,0.0,2,NORMAL,2
Brick,740.0,471.0,80.0,35.0,0.0,1,NORMAL,2
Brick,114.0,268.0,80.0,30.0,0.0,1,NORMAL,1
Brick,196.0,238.0,80.0,30.0,0.0,1,NORMAL,1
Brick,357.0,183.0,80.0,30.0,0.0,1,NORMAL,1
Brick,32.0,269.0,80.0,30.0,0.0,1,NORMAL,1
Brick,114.0,237.0,80.0,30.0,0.0,1,NORMAL,1
Brick,196.0,207.0,80.0,30.0,0.0,1,NORMAL,1
Brick,31.0,330.0,80.0,30.0,0.0,1,NORMAL,1
Brick,113.0,298.0,80.0,30.0,0.0,1,NORMAL,1
Brick,195.0,268.0,80.0,30.0,0.0,1,NORMAL,1
Brick,275.0,241.0,80.0,30.0,0.0,1,NORMAL,1
Brick,356.0,213.0,80.0,30.0,0.0,1,NORMAL,1
