GameState,60,3
Paddle,168.0,680.0,130.0,20.0,8.0
Ball,366.96182811314344,594.7264590130268,20.0,5.0,3.94005376803361,3.078307376628291,true,false
Brick,930.0,335.0,80.0,35.0,0.0,1,NORMAL,1
Brick,79.0,280.0,80.0,35.0,0.0,1,NORMAL,1
Brick,235.0,280.0,80.0,35.0,0.0,1,NORMAL,1
Brick,462.0,525.0,60.0,25.0,0.0,1,NORMAL,1
Brick,622.0,525.0,60.0,25.0,0.0,1,NORMAL,1
Brick,786.0,525.0,60.0,25.0,0.0,1,NORMAL,1
Brick,953.0,525.0,60.0,25.0,0.0,1,NORMAL,1
Brick,57.0,525.0,60.0,25.0,0.0,1,NORMAL,1
Brick,380.0,525.0,60.0,25.0,0.0,1,NORMAL,1
Brick,540.0,525.0,60.0,25.0,0.0,1,NORMAL,1
Brick,704.0,525.0,60.0,25.0,0.0,1,NORMAL,1
Brick,871.0,525.0,60.0,25.0,0.0,1,NORMAL,1
